"RootLabel","Kind","Family","Canonical","Alias","Purpose","SourcePath","Notes"
".codex/skills","skill","Vivo / Dataverse","dataverse-atomic-segment-runner","dataverse-atomic-segment-runner","Use when a Dataverse DEV or tenant-controlled atomic segment must select, apply, or postcheck mon_sdu_* metadata rows by exact canonical id, including evidence, readback, apply-log, gate, source/target, rollback, and no-inference runtime write handling.","C:\Users\enzo1\.codex\skills\dataverse-atomic-segment-runner\SKILL.md",""
".codex/skills","skill","Vivo / Dataverse","dataverse-metadata-only-provisioning","dataverse-metadata-only-provisioning","Use when a Dataverse DEV metadata-only schema, seed, manifest, or postcheck package must be prepared or reviewed without secrets, PROD, TEST, Default, or blind writes.","C:\Users\enzo1\.codex\skills\dataverse-metadata-only-provisioning\SKILL.md",""
".codex/skills","skill","Vivo / Dataverse","dataverse-workqueue-backreference-mapping","dataverse-workqueue-backreference-mapping","Use when a processed Dataverse Work Queue item needs deterministic metadata-only back-reference mapping and target writes must be blocked unless exact target identity is proven.","C:\Users\enzo1\.codex\skills\dataverse-workqueue-backreference-mapping\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-cn-live-agent-activation","sdu-cn-live-agent-activation","Use when an operator explicitly requests SDU-CN live activation, sdu-triage-agent runtime promotion, Dataverse or Power Platform activation, or agent live execution from Cabina governance.","C:\Users\enzo1\.codex\skills\sdu-cn-live-agent-activation\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-ejecutor-gates","sdu-ejecutor-gates","Use when executing or closing SDU gates in D:\ with canon, evidence, validator, rollback, and one formal outcome.","C:\Users\enzo1\.codex\skills\sdu-ejecutor-gates\SKILL.md","alias de index: sdu-gate-executor"
".codex/skills","skill","Vivo / SharePoint","sdu-sharepoint-backlog-by-list","sdu-sharepoint-backlog-by-list","Build a prioritized backlog from live SharePoint list signals, keeping each list separate and preserving gates, rollback, and readback evidence. Use when Codex needs to convert current SharePoint rows, queues, or backlog entries into an operable backlog by list, especially for SDU or SYS-PILOTO surfaces.","C:\Users\enzo1\.codex\skills\sdu-sharepoint-backlog-by-list\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-sharepoint-bitacora-seshat-m365-fallback","sdu-sharepoint-bitacora-seshat-m365-fallback","Use when preparing or executing a governed native SharePoint list write against SeshatHubRegistroN.8 / Bitacora Seshat through CLI for Microsoft 365 as a fallback lane after the exact target packet is already proven and PnP.PowerShell is unavailable or intentionally skipped.","C:\Users\enzo1\.codex\skills\sdu-sharepoint-bitacora-seshat-m365-fallback\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-sharepoint-bitacora-seshat-write-reuse","sdu-sharepoint-bitacora-seshat-write-reuse","Use when preparing or executing a governed native SharePoint list write against SeshatHubRegistroN.8 / Bitacora Seshat and the exact site, list, identity, key rule, or exact existing tuple should be reused instead of rediscovered.","C:\Users\enzo1\.codex\skills\sdu-sharepoint-bitacora-seshat-write-reuse\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-sharepoint-context-refresh","sdu-sharepoint-context-refresh","Restore SharePoint live context fast from local cache, readbacks, and exact site or list evidence. Use when Codex needs to resume SharePoint work without repeating full discovery, especially for SYS-GobiernoOperativo-PILOTO or other live SDU surfaces.","C:\Users\enzo1\.codex\skills\sdu-sharepoint-context-refresh\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-sharepoint-native-list-reader","sdu-sharepoint-native-list-reader","Use when a user asks to read SharePoint rows, items, columns, views, backlog entries, or native list data directly from a live list surface instead of document libraries, folders, files, or exported CSVs.","C:\Users\enzo1\.codex\skills\sdu-sharepoint-native-list-reader\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-sharepoint-piloto-read-reuse","sdu-sharepoint-piloto-read-reuse","Use when reading SharePoint SYS-GobiernoOperativo-PILOTO lists, libraries, SD_BacklogEstrategico, LIB_GobiernoSistemas, or PnP.PowerShell evidence and cached live read evidence may prevent repeated discovery.","C:\Users\enzo1\.codex\skills\sdu-sharepoint-piloto-read-reuse\SKILL.md",""
".codex/skills","skill","Vivo / SharePoint","sdu-sharepoint-surface-guard","sdu-sharepoint-surface-guard","Use when a user asks for SharePoint lists, queues, backlog, rows, items, libraries, folders, files, permissions, or exports and the surface must be classified before reading or answering.","C:\Users\enzo1\.codex\skills\sdu-sharepoint-surface-guard\SKILL.md",""
".codex/skills","skill","Vivo / soporte","sdu-auditor-sharepoint-vivo","sdu-live-sharepoint-audit","Use when requests mention live SharePoint lists, groups, item permissions, naming drift, ESCRIBANIABITSCH, SYS, or a modo-on-foundation gate needs minimum real evidence classified as confirmado, probable, or inferido.","C:\Users\enzo1\.codex\skills\sdu-live-sharepoint-audit\SKILL.md","alias de archivo: sdu-live-sharepoint-audit"
".codex/skills","skill","Vivo / soporte","sdu-publicador-snapshots","sdu-snapshot-publisher","Use when requests mention SDU-07, Auditoria Integrada, Publish-SduOperationalProgram.ps1, republishing, queue synchronization, or snapshot refresh after a gate close and a real SDU publication delta must be verified.","C:\Users\enzo1\.codex\skills\sdu-snapshot-publisher\SKILL.md","alias de archivo: sdu-snapshot-publisher"
